Date,Open,High,Low,Close,Volume,Likes,Retweets,Positive,Neutral,Negative,Composite
2019-01-02,61.220001,63.026001,59.759998,62.023998,58293000,6.726833977,1.239382239,0.074760618,0.877834942,0.047407336,0.093179633
2019-01-03,61.400002,61.880001,59.476002,60.071999,34826000,8.457988166,1.24852071,0.078756213,0.881054438,0.040178698,0.124867929
2019-01-04,61.200001,63.599998,60.546001,63.537998,36970500,4.014117647,0.995294118,0.068437647,0.896170588,0.035385882,0.098981765
2019-01-07,64.344002,67.348,63.549999,66.991997,37756000,22.7804878,3.999061914,0.060005629,0.914885553,0.025106942,0.112631144
2019-01-08,68.391998,68.802002,65.403999,67.07,35042500,4.4217119,1.165970772,0.074020877,0.889061587,0.036922756,0.103614927
2019-01-09,67.099998,68.699997,66.293999,67.706001,27164500,4.729425028,1.091319053,0.076898534,0.879523112,0.043573844,0.114271702
2019-01-10,66.879997,69.078003,66.358002,68.994003,30282000,9.347685684,1.434876211,0.071219591,0.893839612,0.034940797,0.121093003
2019-01-11,68.417999,69.681999,67.753998,69.452003,25195500,6.743648961,1.199769053,0.073296767,0.893610855,0.033083141,0.132315127
2019-01-14,68.475998,68.5,66.800003,66.879997,26236500,6.679882526,1.234948605,0.076671072,0.891709251,0.031634361,0.141276358
2019-01-15,67,69.760002,66.900002,68.886002,30283000,5.893902439,1.124390244,0.080958537,0.889254878,0.029791463,0.154070732
2019-01-16,68.956001,70.400002,68.699997,69.209999,23458500,5.882275132,1.252645503,0.077763228,0.895230159,0.027003968,0.161902116
2019-01-17,69.241997,70.300003,68.830002,69.461998,18383500,4.46993865,0.896932515,0.074317791,0.896652761,0.029029448,0.147744663
2019-01-18,64.599998,65.426003,59.945999,60.452,120754000,3.802442529,1.266522989,0.064945402,0.882946121,0.052112069,0.050920043
2019-01-22,60.964001,61.599998,59.099998,59.784,60333500,5.563975155,1.186335404,0.069424845,0.895091925,0.035475776,0.109308944
2019-01-23,58.5,58.900002,56.338001,57.518002,62650000,3.911525029,0.905704307,0.072888242,0.882905704,0.044214203,0.098699651
2019-01-24,56.605999,58.736,55.855999,58.301998,40061000,7.113009198,1.291721419,0.077055191,0.888390276,0.034568988,0.132452562
2019-01-25,58.877998,59.703999,57.91,59.408001,36248000,4.660060976,1.19054878,0.078221037,0.886564024,0.03521189,0.149657774
2019-01-28,58.582001,59.492001,57.549999,59.276001,32116500,10.07886905,1.5625,0.07274256,0.892473214,0.034791667,0.127431994
2019-01-29,59.054001,59.712002,58.360001,59.492001,23108500,3.912208505,0.912208505,0.071142661,0.891237311,0.037618656,0.113070645
2019-01-30,60.09,61.799999,59.698002,61.754002,56251500,3.700722394,0.786377709,0.073633643,0.891697626,0.034662539,0.120855418
2019-01-31,60.200001,62.312,58.799999,61.403999,62846000,6.141843972,1.156914894,0.073547872,0.889260638,0.037205674,0.115870124
2019-02-01,61.084,63.220001,60.700001,62.442001,36417000,4.383390216,0.852104664,0.078659841,0.891473265,0.029886234,0.155913879
2019-02-04,62.596001,63.060001,60.375999,62.577999,36760500,10.57849197,1.394313968,0.07907293,0.893624227,0.027300371,0.143655871
2019-02-05,62.498001,64.487999,62.450001,64.269997,33714000,5.684855234,1.057906459,0.070888641,0.899580178,0.029528953,0.119362472
2019-02-06,63.917999,64.848,63.124001,63.444,25192500,13.13950456,1.239895698,0.066252934,0.903443286,0.030297262,0.104251499
2019-02-07,62.66,62.939999,60.599998,61.501999,32603000,5.252918288,1.007782101,0.078941634,0.885853437,0.035204929,0.119780156
2019-02-08,61.366001,61.490002,59.700001,61.16,29221000,15.48285322,1.88340192,0.088159122,0.88429904,0.027539095,0.179449931
2019-02-11,62.32,63.720001,62.099998,62.568001,35648500,6.212516297,1.25684485,0.069578879,0.90089309,0.029539765,0.120362451
2019-02-12,63.240002,63.638,61.924,62.362,27588000,7.420268256,1.290611028,0.080260805,0.886172876,0.033561848,0.153462742
2019-02-13,62.470001,62.549999,61.113998,61.633999,25708000,5.895408163,1.090561224,0.089272959,0.877061224,0.033678571,0.159298342
2019-02-14,60.675999,61.354,60.200001,60.754002,26004000,3.754262788,0.76328987,0.09261986,0.868933801,0.038444333,0.151004112
2019-02-15,60.900002,61.599998,60.779999,61.576,19524500,6.808900524,1.342931937,0.083284031,0.877611257,0.039117801,0.132760079
2019-02-19,61.312,62.307999,61.094002,61.127998,20842000,11.78601997,1.841654779,0.078373752,0.887573466,0.034065621,0.147596576
2019-02-20,60.882,61.259998,59.799999,60.512001,35710500,4.176161262,0.942156004,0.074822086,0.899638037,0.025549518,0.152890535
2019-02-21,60.362,60.647999,58.099998,58.245998,44546000,5.973285841,0.919857524,0.093045414,0.868197685,0.03875512,0.185434728
